"","FID","admin_region","admin_district","municipality","year","month","hour","day_week","category","kind_accident","type_accident","accident_car","accident_passenger","accident_motor","accident_goodsroad","accident_other","LINREFX","LINREFY","XGCSWGS84","YGCSWGS84","road_surface_condition","day"
"174",9332,6,2,602,2016,9,20,1,3,5,2,1,0,0,0,0,580327.8302,5927170.1992,10.210653665,53.487364723,NA,25
"175",9339,3,5,317,2016,8,15,5,3,3,6,0,0,1,0,0,563665.8008,5939789.5205,9.962145969,53.603058454,NA,4
"176",9355,1,8,124,2016,12,16,2,3,3,2,0,0,0,1,0,569813.3962,5934147.0668,10.0537728,53.551566622,NA,5
"177",9369,1,2,104,2016,10,12,4,3,3,2,0,0,0,1,0,568111.2884,5932148.8767,10.027650487,53.533832144,NA,26
"178",9370,6,1,601,2016,11,10,4,3,0,3,0,0,0,1,0,579516.9468,5927756.6134,10.198584048,53.492757811,NA,23
"179",9378,2,1,206,2016,6,13,7,3,3,2,1,0,0,0,0,563860.76,5934706.27,9.964051769,53.557350158,NA,25
"180",9380,3,5,317,2016,10,0,7,3,1,5,1,0,0,0,0,563956.8747,5938933.3674,9.966368486,53.595328555,NA,8
"181",9382,3,1,306,2016,4,9,6,3,5,3,1,0,0,0,0,563083.18,5936267.16,9.952630272,53.571472419,NA,1
"182",9384,6,2,603,2016,4,13,5,3,5,3,1,0,0,0,0,580837.84,5927155.465,10.218334535,53.487154217,NA,28
"183",9397,3,9,321,2016,8,16,4,3,3,2,1,0,0,0,0,561727.6525,5937913.1418,9.932488724,53.58642669,NA,31
"184",9400,4,5,409,2016,9,11,6,3,3,2,1,0,0,0,0,566337.4508,5938659.5174,10.002274058,53.592571562,NA,23
"185",9416,4,5,409,2016,7,10,3,3,5,3,1,0,0,0,0,566398.0993,5938636.2091,10.003185263,53.592354409,NA,5
"186",9420,3,1,306,2016,6,15,5,3,0,5,1,0,0,0,0,563504.8382,5936557.8812,9.959055955,53.574034348,NA,23
"187",9423,4,5,409,2016,6,10,2,3,0,7,1,0,0,0,0,566491.9599,5938599.9239,10.004595395,53.592016412,NA,6
"188",9424,2,6,218,2016,9,17,4,3,5,2,0,0,0,0,1,558842.495,5935806.664,9.888512943,53.567826487,NA,14
"189",9433,2,5,215,2016,9,18,5,3,5,3,1,0,0,0,0,561354.6511,5935375.3212,9.926356073,53.563662105,NA,8
"190",9436,6,2,602,2016,8,12,2,3,5,2,1,0,0,0,0,580321.0436,5927174.3418,10.210552466,53.487402987,NA,15
"191",9444,1,2,104,2016,7,16,2,3,5,3,1,0,0,0,0,568103.4276,5932133.8594,10.027528638,53.5336982,NA,11
"192",9452,1,3,106,2016,9,18,6,3,5,3,1,0,0,0,0,564269.3603,5933969.9703,9.970067718,53.550682942,NA,2
"193",9454,2,6,218,2016,8,12,3,3,3,2,1,0,0,0,0,557634.34,5936163.471,9.870338162,53.571167396,NA,2
"194",9458,4,5,412,2016,8,7,3,3,6,3,0,1,0,0,0,567347.0113,5938032.0508,10.017389136,53.586803724,NA,16
"195",9460,1,4,110,2016,8,7,3,3,6,3,0,1,0,0,0,563577.5546,5935010.2772,9.959838963,53.560116747,NA,9
"196",9461,4,6,414,2016,9,16,5,3,4,2,1,0,0,0,0,567707.2514,5936623.4647,10.02252465,53.574098204,NA,15
"197",9463,7,14,715,2016,6,5,4,3,0,7,0,0,0,0,0,553895.0223,5924669.1069,9.811899438,53.468256541,NA,15
"198",9467,3,6,318,2016,11,18,5,3,0,7,0,0,0,0,0,562910.5955,5941240.429,9.951027671,53.616189362,NA,17
"199",9481,3,6,318,2016,6,15,4,3,3,2,1,0,0,0,0,563196.8843,5940759.285,9.955257257,53.611830738,NA,1
"200",9489,3,4,316,2016,12,22,1,3,5,2,1,0,0,0,0,564182.2736,5937679.9585,9.969515768,53.584036309,NA,11
"201",9506,7,14,715,2016,11,15,6,3,5,2,1,0,0,0,0,556330.0599,5925197.1721,9.848672323,53.472747808,NA,25
