_fid;anzahl;geschwindigkeit;von;bis;strichbreite;geom;coordinate_reference_system
DE.HH.UP_LETZTE_WOCHE_7615187;18;21.1;2025-03-17;2025-03-23;2.0;LINESTRING (567794.081352 5937807.939300,567731.789881 5937784.010646);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615188;19;21.4;2025-03-17;2025-03-23;2.1;LINESTRING (567687.935690 5937767.135096,567731.789881 5937784.010646);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615189;12;17.3;2025-03-17;2025-03-23;1.5;LINESTRING (567968.706971 5937874.880249,567974.895712 5937877.306194,567992.476982 5937884.013514);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615190;13;20.4;2025-03-17;2025-03-23;1.6;LINESTRING (568083.967700 5937930.621570,568030.093791 5937901.692068,568011.630850 5937891.856303,568008.740706 5937890.256805,567992.476982 5937884.013514);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615191;10;21.1;2025-03-17;2025-03-23;1.3;LINESTRING (568187.443103 5937986.195231,568202.291991 5937994.087793);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615192;12;21.8;2025-03-17;2025-03-23;1.5;LINESTRING (568226.534149 5938007.123574,568202.291991 5937994.087793);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615193;9;19.2;2025-03-17;2025-03-23;1.2;LINESTRING (568269.829036 5938030.338566,568254.980373 5938022.445788);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615194;10;21.6;2025-03-17;2025-03-23;1.3;LINESTRING (568237.307862 5938012.954377,568254.980373 5938022.445788);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615195;11;14.6;2025-03-17;2025-03-23;1.4;LINESTRING (568383.177432 5938089.620342,568376.979486 5938087.861341,568356.428842 5938075.991022,568316.538156 5938055.495065);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615196;9;18.9;2025-03-17;2025-03-23;1.2;LINESTRING (568089.033111 5937841.233123,568040.862496 5937834.528788);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615197;25;18.5;2025-03-17;2025-03-23;2.5;LINESTRING (568404.588799 5938001.136942,568416.948408 5937879.474766);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615198;19;19.6;2025-03-17;2025-03-23;2.1;LINESTRING (568421.567826 5937839.484324,568416.948408 5937879.474766);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615199;9;19.2;2025-03-17;2025-03-23;1.2;LINESTRING (567878.875998 5936922.000289,567868.903443 5936915.514291,567866.868562 5936914.261021,567811.872367 5936874.970046);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615200;10;19.2;2025-03-17;2025-03-23;1.3;LINESTRING (567746.235449 5936829.518214,567755.677069 5936836.107582,567760.530290 5936839.404177,567811.872367 5936874.970046);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615201;13;17.1;2025-03-17;2025-03-23;1.6;LINESTRING (567944.143570 5936965.334569,567935.088502 5936959.529274,567892.385383 5936931.207733,567889.761039 5936929.500882,567878.875998 5936922.000289);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615202;11;19.0;2025-03-17;2025-03-23;1.4;LINESTRING (567700.483603 5936796.592576,567734.829853 5936821.342861,567739.221227 5936824.521528,567746.235449 5936829.518214);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615203;13;17.7;2025-03-17;2025-03-23;1.6;LINESTRING (567701.197448 5936631.589008,567681.269970 5936658.786645);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615204;15;16.3;2025-03-17;2025-03-23;1.8;LINESTRING (567652.789178 5936700.549287,567658.879229 5936691.512523,567666.117276 5936680.934459,567681.269970 5936658.786645);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615205;17;14.9;2025-03-17;2025-03-23;1.9;LINESTRING (567436.926449 5937799.699518,567445.939652 5937771.343295);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615206;14;16.9;2025-03-17;2025-03-23;1.7;LINESTRING (567454.351485 5937738.750209,567445.939652 5937771.343295);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615207;12;21.3;2025-03-17;2025-03-23;1.5;LINESTRING (567840.174283 5937825.626976,567822.660386 5937818.809933,567814.165805 5937815.572117);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615208;14;16.5;2025-03-17;2025-03-23;1.7;LINESTRING (574130.215801 5938843.167342,574104.971787 5938823.519770,574083.195070 5938806.486165,574074.462876 5938797.669480,574070.847527 5938791.826383,574068.888520 5938785.898056);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615209;9;17.1;2025-03-17;2025-03-23;1.2;LINESTRING (573949.521649 5938794.816514,573987.344315 5938789.178994,574007.854808 5938781.489407,574031.488508 5938768.841650,574051.331815 5938765.704004,574068.888520 5938785.898056);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615210;10;19.3;2025-03-17;2025-03-23;1.3;LINESTRING (568148.760180 5936026.828699,568161.866168 5936009.103592);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615211;12;20.4;2025-03-17;2025-03-23;1.5;LINESTRING (568207.706511 5935949.235320,568187.505218 5935976.649498,568161.866168 5936009.103592);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615212;12;16.8;2025-03-17;2025-03-23;1.5;LINESTRING (568301.012091 5935822.736089,568291.621548 5935835.396191,568282.432950 5935847.836695,568256.896033 5935882.294642);EPSG:25832
